property_id,first_seen
CORP1569,2026-06-05 16:25:47.636043
MAHB010010418013,2026-06-05 16:25:47.636051
MAHB10051408754,2026-06-05 16:25:47.636053
BARB612620200132,2026-06-05 16:25:47.636054
BARB612620200133,2026-06-05 16:25:47.636056
MAHB040054953699,2026-06-05 16:25:47.636057
PUNB-8762-74,2026-06-05 16:25:47.636058
BARB104220200001,2026-06-05 16:35:16.394225
MAHB40008830582,2026-06-05 16:35:16.394229
MAHB140008830582,2026-06-05 16:35:16.394230
MAHB110051408754,2026-06-05 16:35:16.394231
MAHB10010418013,2026-06-05 16:35:16.394231
MAHB40054953699,2026-06-05 16:35:16.394233
BARB612620200131,2026-06-05 16:35:16.394233
BARB612620200130,2026-06-05 16:35:16.394234
