property_id,bank_name,property_type,reserve_price,state,district,city,rowid
BARB104220200001,BANK OF BARODA,COMMERCIAL,"      13,10,000.00",GOA,NORTH GOA,MAPUSA,AAA0OGAAFAACR8gAAF
MAHB40008830582,BANK OF MAHARASHTRA,RESIDENTIAL,,GOA,NORTH GOA,RAIBANDAR,AAA0OGAAFAACOh2AAE
MAHB140008830582,BANK OF MAHARASHTRA,RESIDENTIAL,,GOA,NORTH GOA,RAIBANDAR,AAA0OGAAFAACRd0AAF
MAHB110051408754,BANK OF MAHARASHTRA,RESIDENTIAL,,GOA,NORTH GOA,BICHOLIM,AAA0OGAAFAACSDDAAB
MAHB10010418013,BANK OF MAHARASHTRA,RESIDENTIAL,,GOA,NORTH GOA,SOCORRO PANCHAYAT,AAA0OGAAFAACTJsAAH
CORP1569,UNION BANK OF INDIA,RESIDENTIAL,"      32,00,000.00",GOA,NORTH GOA,BARDEZ,AAA0OGAAFAACTbnAAK
MAHB010010418013,BANK OF MAHARASHTRA,RESIDENTIAL,,GOA,NORTH GOA,SOCORRO BARDEZ NORTH GOA,AAA0OGAAFAACTd1AAB
MAHB10051408754,BANK OF MAHARASHTRA,RESIDENTIAL,,GOA,NORTH GOA,BICHOLEM BORDEM,AAA0OGAAFAACTuZAAF
MAHB40054953699,BANK OF MAHARASHTRA,RESIDENTIAL,,GOA,SOUTH GOA,CALATA MAJORDA UTORDA,AAA0OGAAFAACRemAAF
BARB612620200131,BANK OF BARODA,RESIDENTIAL,"      71,00,000.00",GOA,SOUTH GOA,SALECETE,AAA0OGAAFAACR3hAAC
BARB612620200130,BANK OF BARODA,RESIDENTIAL,"      75,91,500.00",GOA,SOUTH GOA,SALECETE,AAA0OGAAFAACSC0AAG
BARB612620200132,BANK OF BARODA,RESIDENTIAL,"      29,07,000.00",GOA,SOUTH GOA,Quepem,AAA0OGAAFAACSDEAAC
BARB612620200133,BANK OF BARODA,RESIDENTIAL,"      31,46,000.00",GOA,SOUTH GOA,Quepem,AAA0OGAAFAACSDEAAE
MAHB040054953699,BANK OF MAHARASHTRA,RESIDENTIAL,,GOA,SOUTH GOA,CALATA MAJORDA UTORDA SALCETE,AAA0OGAAFAACTukAAB
